ip,domain
1.0.0.1,1dot1dot1dot1.cloudflare-dns.com
100.15.72.91,dns.chilimac.net
1.0.0.19,cloudflare-dns.com
1.0.0.1,cloudflare-dns.com
1.0.0.2,cloudflare-dns.com
1.0.0.2,security.cloudflare-dns.com
1.0.0.3,cloudflare-dns.com
1.0.0.3,family.cloudflare-dns.com
101.101.101.101,twnic-public-dns.twnic.tw
101.127.82.6,com.apple.dnssd-proxy
101.132.226.222,dns.fengyewuyu.com
101.133.219.172,dns.keepx.top
101.198.191.131,dns.360.cn
101.198.191.131,dot.360.cn
101.198.191.132,dns.360.cn
101.198.191.132,dot.360.cn
101.198.191.133,dns.360.cn
101.198.191.133,dot.360.cn
101.198.191.135,dns.360.cn
101.198.191.135,dot.360.cn
101.198.191.247,dns.360.cn
101.198.191.247,dot.360.cn
101.198.191.4,dns.360.cn
101.198.191.4,dot.360.cn
101.198.192.33,dns.360.cn
101.198.192.33,dot.360.cn
101.199.113.208,dns.360.cn
101.199.113.208,dot.360.cn
101.199.254.118,dns.360.cn
101.199.254.118,dot.360.cn
101.200.159.47,dns.iambin.top
101.226.4.6,dns.360.cn
101.226.4.6,dot.360.cn
101.226.4.6,pub1.sdns.360.cn
101.32.177.85,dns.xtdwf.com
101.32.187.148,dns.1833015459.site
101.32.204.113,doh.wydns.top
101.32.214.41,dns.sincere.host
101.32.215.187,dns.lemur443.top
101.32.27.77,dns.heqir.xyz
101.34.0.13,dnsjj.online
101.34.0.13,tx.dnsjj.online
101.34.34.225,dot.hades001.com
101.35.118.228,dns.zzzweb.xyz
101.35.92.96,no.ad.ad-dns.vip
101.43.107.252,idns.ruchu.cloud
101.43.41.95,dns.iktao.cn
101.50.3.92,dns.sensing.my.id
101.50.86.118,pk-dns.b33.network
101.98.84.9,default-rdns.vocus.co.nz
101.99.164.219,com.apple.dnssd-proxy
101.99.170.245,com.apple.dnssd-proxy
102.130.49.135,dns.nextdns.io
102.37.118.243,dns.elwan.one
102.68.86.68,dns.nextdns.io
103.101.161.231,dns.f97.xyz
103.102.166.14,wikimedia-dns.org
103.102.166.5,wikimedia-dns.org
103.103.131.105,dns.nextdns.io
103.108.228.192,doh-mel.zdns.pw
103.108.95.182,bne206501.eerodns.com
103.108.95.182,dns1.eerodns.com
103.108.95.182,dns2.eerodns.com
103.118.42.49,cloudflare-dns.com
103.121.210.210,dns.sb
103.121.210.210,dot.sb
103.121.210.211,dns.sb
103.121.210.211,dot.sb
103.121.210.212,dns.sb
103.121.210.212,dot.sb
103.12.211.14,dns.nextdns.io
103.124.95.99,dns.adbvn.com
103.127.124.46,dns.nextdns.io
103.127.29.198,dns.nextdns.io
103.130.69.37,dns.nextdns.io
103.130.69.39,dns.nextdns.io
103.13.112.100,mumdns.tfaq.cc
103.13.114.172,dns.nextdns.io
103.137.62.18,dns.qvq.network
103.137.62.19,dns.qvq.network
103.140.188.80,dnsb2.itn.net.id
103.140.188.80,dns.cache-2.itn.net.id
103.150.187.108,dns.nextdns.io
103.153.149.1,dns.apigw.online
103.161.172.14,dns.bahien.com
103.161.172.14,rdns.tino.org
103.161.172.192,dns-server.saigondata.vn
103.161.172.192,rdns.tino.org
103.167.150.28,dns.lycoris.win
103.170.232.254,dns.nextdns.io
103.172.17.225,dns1.mactel.net.id
103.179.45.33,jpdns.hker.me
