ip,path,flag,geth1,geth2,posth1,posth2,jsonh1,jsonh2
1.0.0.1,dns-query,true,true,true,true,true,false,false
135.84.253.90,dns-query,true,false,false,true,true,false,false
135.84.253.90,query,true,false,false,false,true,false,false
135.84.253.90,resolve,true,false,false,true,false,false,false
135.84.253.90,,true,false,false,true,true,false,false
167.179.212.139,dns-query,true,false,false,true,true,false,false
167.179.212.139,query,true,false,false,false,true,false,false
167.179.212.139,resolve,true,false,false,false,true,false,false
167.179.212.139,,true,false,false,true,false,false,false
185.253.5.157,dns-query,true,true,true,true,true,true,true
185.253.5.157,query,true,true,true,true,true,true,true
185.253.5.157,resolve,true,true,true,true,true,true,true
185.253.5.157,,true,true,true,true,true,true,false
216.106.102.154,dns-query,true,true,true,true,true,false,false
31.187.45.57,dns-query,true,true,true,true,true,false,false
45.90.31.99,dns-query,true,true,true,true,true,true,false
119.28.50.13,dns-query,true,true,true,true,true,false,false
135.84.245.185,dns-query,true,false,false,true,true,false,false
135.84.245.185,query,true,false,false,true,false,false,false
135.84.245.185,,true,false,false,true,false,false,false
209.177.158.114,dns-query,true,true,true,true,true,false,false
23.247.214.86,dns-query,true,true,true,true,true,true,true
23.247.214.86,query,true,true,true,true,true,true,true
23.247.214.86,resolve,true,true,true,true,true,true,true
23.247.214.86,,true,true,true,true,true,true,true
43.251.29.30,resolve,true,false,false,false,true,false,false
43.251.29.30,,true,false,false,true,false,false,false
119.28.59.205,dns-query,true,true,true,true,true,false,false
135.84.245.169,dns-query,true,false,false,false,true,false,false
135.84.245.169,resolve,true,false,false,false,true,false,false
135.84.245.169,,true,false,false,true,false,false,false
167.179.212.242,dns-query,true,false,false,true,true,false,false
167.179.212.242,query,true,false,false,false,true,false,false
167.179.212.242,,true,false,false,true,false,false,false
185.253.5.221,dns-query,true,true,true,true,true,true,true
185.253.5.221,query,true,true,true,true,true,true,true
185.253.5.221,resolve,true,true,true,true,true,true,true
185.253.5.221,,true,true,true,false,false,false,false
23.247.214.233,dns-query,true,true,true,true,true,true,true
23.247.214.233,query,true,true,true,true,true,true,true
23.247.214.233,resolve,true,true,true,true,true,true,true
23.247.214.233,,true,true,true,true,true,true,true
