neatdns.ustclug.org,resolve
freedns.controld.com,p0
freedns.controld.com,p1
freedns.controld.com,p2
freedns.controld.com,p3
doh.cleanbrowsing.org,doh/family-filter/
odvr.nic.cz,doh
doh.asia.dnswarden.com,adblock
doh.asia.dnswarden.com,uncensored
doh.asia.dnswarden.com,adultfilter
doh.eu.dnswarden.com,adblock
doh.eu.dnswarden.com,uncensored
doh.eu.dnswarden.com,adultfilter
doh.us.dnswarden.com,adblock
doh.us.dnswarden.com,uncensored
doh.us.dnswarden.com,adultfilter
dns.hostux.net,ads
doh.libredns.gr,ads
rethinkdns.com,configure
berd.moe,dns
