ip,domain
1.1.1.1,cloudflare-dns.com
1.0.0.1,cloudflare-dns.com
1.1.1.1,one.one.one.one
1.0.0.3,family.cloudflare-dns.com
1.1.1.2,security.cloudflare-dns.com
1.0.0.2,security.cloudflare-dns.com
1.1.1.1,1dot1dot1dot1.cloudflare-dns.com
1.1.1.3,family.cloudflare-dns.com
1.0.0.1,1dot1dot1dot1.cloudflare-dns.com
101.198.192.33,dot.360.cn
139.162.112.47,dot-jp.blahdns.com
103.2.57.6,public.dns.iij.jp
103.2.57.5,public.dns.iij.jp
139.99.222.72,dot.seby.io
130.59.31.251,dns.switch.ch
130.59.31.248,dns.switch.ch
140.238.215.192,dot.post-factum.tk
145.100.185.15,dnsovertls.sinodun.com
145.100.185.16,dnsovertls1.sinodun.com
149.112.112.112,dns.quad9.net
145.100.185.17,dnsovertls2.sinodun.com
149.112.112.10,dns10.quad9.net
149.112.112.11,dns11.quad9.net
145.100.185.18,dnsovertls3.sinodun.com
162.14.21.178,dot.pub
162.14.21.56,dot.pub
146.255.56.98,dot1.applied-privacy.net
149.112.121.10,private.canadianshield.cira.ca
149.112.121.20,protected.canadianshield.cira.ca
149.112.122.10,private.canadianshield.cira.ca
149.112.122.20,protected.canadianshield.cira.ca
158.64.1.29,kaitain.restena.lu
176.9.1.117,dnsforge.de
176.9.199.158,dns.decloudus.com
176.9.93.198,dnsforge.de
184.105.193.78,tls-dns-u.odvr.dns-oarc.net
185.222.222.222,dns.sb
185.150.99.255,dot.ffmuc.net
185.228.168.10,adult-filter-dns.cleanbrowsing.org
185.228.168.168,family-filter-dns.cleanbrowsing.org
185.228.168.9,security-filter-dns.cleanbrowsing.org
185.235.81.1,doh.dnslify.com
193.19.108.2,doh.mullvad.net
193.19.108.3,adblock.doh.mullvad.net
185.49.141.37,getdnsapi.net
193.17.47.1,odvr.nic.cz
185.43.135.1,odvr.nic.cz
194.182.182.199,dns.nextdns.io
199.58.81.218,dns.cmrg.net
223.5.5.5,dns.alidns.com
223.6.6.6,dns.alidns.com
217.146.30.7,dns.nextdns.io
185.213.26.187,dot.eastus.pi-dns.com
213.196.191.96,ibksturm.synology.me
45.76.113.31,dot.seby.io
45.67.219.208,dot.westus.pi-dns.com
46.9.220.245,dandelionsprout.asuscomm.com
51.158.147.50,resolver-eu.lelux.fi
51.38.83.141,dns.oszx.co
5.1.66.255,anycast01.ffmuc.net
5.1.66.255,dot.ffmuc.net
76.76.2.11,p0.freedns.controld.com
76.76.2.11,p1.freedns.controld.com
5.9.164.112,dns3.digitalcourage.de
76.76.2.11,p2.freedns.controld.com
76.76.2.11,p3.freedns.controld.com
78.46.244.143,dot-de.blahdns.com
81.3.27.54,recursor01.dns.lightningwirelabs.com
8.8.4.4,dns.google
81.3.27.54,recursor01.dns.ipfire.org
8.8.8.8,dns.google
81.90.180.173,dns.comss.one
89.234.186.112,dns.neutopia.org
89.233.43.71,unicast.uncensoreddns.org
89.233.43.71,unicast.censurfridns.dk
91.230.211.67,dns.east.comss.one
91.239.100.100,anycast.censurfridns.dk
91.239.100.100,anycast.uncensoreddns.org
92.223.109.31,dns.east.comss.one
94.140.14.140,dns-unfiltered.adguard.com
92.223.65.71,dns.comss.one
94.140.14.141,dns-unfiltered.adguard.com
94.140.14.14,dns.adguard.com
94.140.14.15,dns-family.adguard.com
94.140.15.15,dns.adguard.com
94.140.15.16,dns-family.adguard.com
95.216.212.177,dot-fi.blahdns.com
95.216.24.230,fi.dot.dns.snopyta.org
9.9.9.10,dns10.quad9.net
95.217.213.94,dns-dot.dnsforfamily.com
9.9.9.11,dns11.quad9.net
9.9.9.9,dns.quad9.net
116.202.176.26,dot.libredns.gr
