ip,domain,path
1.0.0.1,1dot1dot1dot1.cloudflare-dns.com,dns-query
1.0.0.1,one.one.one.one,dns-query
1.0.0.2,security.cloudflare-dns.com,dns-query
1.0.0.3,family.cloudflare-dns.com,dns-query
101.101.101.101,dns.twnic.tw,
101.101.101.101,dns.twnic.tw,dns-query
101.101.101.101,dns.twnic.tw,query
101.101.101.101,dns.twnic.tw,resolve
101.102.103.104,dns.twnic.tw,
101.102.103.104,dns.twnic.tw,dns-query
101.102.103.104,dns.twnic.tw,query
101.102.103.104,dns.twnic.tw,resolve
101.198.192.33,doh.360.cn,
101.198.192.33,doh.360.cn,dns-query
101.33.125.235,i.passcloud.xyz,dns-query
101.34.204.157,i.233py.com,dns-query
101.35.161.25,i.233py.com,dns-query
103.121.210.210,jp-nrt.doh.sb,dns-query
103.196.38.200,query.hdns.io,dns-query
103.254.108.74,a.passcloud.xyz,dns-query
103.254.108.74,a.passcloud.xyz,resolve
103.2.57.5,public.dns.iij.jp,dns-query
103.2.57.6,public.dns.iij.jp,dns-query
103.73.64.132,doh.au.ahadns.net,dns-query
104.16.132.229,dns.cloudflare.com,dns-query
104.16.133.229,dns.cloudflare.com,dns-query
104.16.248.249,cloudflare-dns.com,dns-query
104.16.248.249,mozilla.cloudflare-dns.com,dns-query
104.16.249.249,cloudflare-dns.com,dns-query
104.16.249.249,mozilla.cloudflare-dns.com,dns-query
104.18.26.211,chrome.cloudflare-dns.com,dns-query
104.18.27.211,chrome.cloudflare-dns.com,dns-query
104.21.13.53,basic.rethinkdns.com,
104.21.13.53,basic.rethinkdns.com,dns-query
104.21.13.53,basic.rethinkdns.com,query
104.21.13.53,basic.rethinkdns.com,resolve
104.21.22.243,adblock.mydns.network,dns-query
104.21.22.243,freedom.mydns.network,dns-query
104.21.30.162,jp.tiarap.org,dns-query
104.21.49.234,basic.bravedns.com,
104.21.49.234,basic.bravedns.com,dns-query
104.21.49.234,basic.bravedns.com,query
104.21.49.234,basic.bravedns.com,resolve
104.21.49.234,free.bravedns.com,
104.21.49.234,free.bravedns.com,dns-query
104.21.49.234,free.bravedns.com,query
104.21.49.234,free.bravedns.com,resolve
104.21.51.90,doh.post-factum.tk,dns-query
104.21.6.78,doh.crypto.sx,dns-query
1.1.1.1,1dot1dot1dot1.cloudflare-dns.com,dns-query
1.1.1.1,one.one.one.one,dns-query
111.229.68.53,i.233py.com,dns-query
1.1.1.2,security.cloudflare-dns.com,dns-query
1.1.1.3,family.cloudflare-dns.com,dns-query
116.202.176.26,doh.libredns.gr,ads
116.202.176.26,doh.libredns.gr,dns-query
130.225.244.166,deic-lgb.anycast.censurfridns.dk,
130.225.244.166,deic-lgb.anycast.censurfridns.dk,dns-query
130.225.244.166,deic-lgb.anycast.uncensoreddns.org,
130.225.244.166,deic-lgb.anycast.uncensoreddns.org,dns-query
130.226.161.34,deic-ore.anycast.censurfridns.dk,
130.226.161.34,deic-ore.anycast.censurfridns.dk,dns-query
130.226.161.34,deic-ore.anycast.uncensoreddns.org,
130.226.161.34,deic-ore.anycast.uncensoreddns.org,dns-query
130.59.31.248,dns.switch.ch,
130.59.31.248,dns.switch.ch,dns-query
130.59.31.251,dns.switch.ch,
130.59.31.251,dns.switch.ch,dns-query
13.53.186.52,dns.brahma.world,dns-query
137.117.187.53,dns.comss.one,dns-query
138.199.24.210,doh1.b-cdn.net,dns-query
138.199.24.210,doh1.blahdns.com,dns-query
13.89.120.251,dohtrial.att.net,
13.89.120.251,dohtrial.att.net,dns-query
13.89.120.251,dohtrial.att.net,query
13.89.120.251,dohtrial.att.net,resolve
139.162.86.249,berd.moe,dns
139.99.222.72,doh-2.seby.io,dns-query
139.99.222.72,dot.seby.io,dns-query
144.202.69.149,doh.us.dnswarden.com,adblock
144.202.69.149,doh.us.dnswarden.com,adultfilter
144.202.69.149,doh.us.dnswarden.com,uncensored
146.112.41.2,doh.opendns.com,dns-query
146.112.41.3,doh.familyshield.opendns.com,dns-query
146.112.41.4,doh.sandbox.opendns.com,dns-query
146.255.56.98,doh.applied-privacy.net,query
146.255.56.98,doh.appliedprivacy.net,query
149.112.112.10,dns10.quad9.net,dns-query
149.112.112.112,dns.quad9.net,dns-query
149.112.112.11,dns11.quad9.net,dns-query
149.112.112.12,dns12.quad9.net,dns-query
149.112.112.13,dns13.quad9.net,dns-query
149.112.112.9,dns9.quad9.net,dns-query
149.112.121.10,private.canadianshield.cira.ca,dns-query
149.112.121.20,protected.canadianshield.cira.ca,dns-query
149.112.121.30,family.canadianshield.cira.ca,dns-query
149.112.122.10,private.canadianshield.cira.ca,dns-query
149.112.122.20,protected.canadianshield.cira.ca,dns-query
149.112.122.30,family.canadianshield.cira.ca,dns-query
149.154.153.153,adfree.usableprivacy.net,
149.154.153.153,adfree.usableprivacy.net,dns-query
149.154.153.153,adfree.usableprivacy.net,query
151.80.222.79,opennic.i2pd.xyz,dns-query
152.67.165.26,jit.ddns.net,
152.67.165.26,jit.ddns.net,dns-query
152.67.165.26,jit.ddns.net,query
152.67.165.26,jit.ddns.net,resolve
156.154.175.230,doh.eastus.pi-dns.com,dns-query
156.154.176.230,doh.eastus.pi-dns.com,dns-query
162.14.21.178,dns.pub,dns-query
162.14.21.178,doh.pub,dns-query
162.14.21.178,dot.pub,dns-query
162.14.21.56,dns.pub,dns-query
162.14.21.56,doh.pub,dns-query
162.14.21.56,dot.pub,dns-query
168.138.243.216,ibuki.cgnat.net,dns-query
168.235.81.167,dns-gcp.aaflalo.me,dns-query
168.235.81.167,dns-nyc.aaflalo.me,dns-query
172.104.206.174,dns.therifleman.name,dns-query
172.64.80.1,doh.tiarap.org,dns-query
172.67.134.157,doh.crypto.sx,dns-query
172.67.154.200,basic.rethinkdns.com,
172.67.154.200,basic.rethinkdns.com,dns-query
172.67.154.200,basic.rethinkdns.com,query
172.67.154.200,basic.rethinkdns.com,resolve
172.67.173.59,jp.tiarap.org,dns-query
172.67.177.252,doh.post-factum.tk,dns-query
172.67.195.148,basic.bravedns.com,
172.67.195.148,basic.bravedns.com,dns-query
172.67.195.148,basic.bravedns.com,query
172.67.195.148,basic.bravedns.com,resolve
172.67.195.148,free.bravedns.com,
172.67.195.148,free.bravedns.com,dns-query
172.67.195.148,free.bravedns.com,query
172.67.195.148,free.bravedns.com,resolve
172.67.207.222,adblock.mydns.network,dns-query
172.67.207.222,freedom.mydns.network,dns-query
173.199.126.35,hydra.plan9-ns1.com,dns-query
174.138.29.175,doh.tiar.app,dns-query
174.138.29.175,dot.tiar.app,dns-query
176.9.1.117,dnsforge.de,dns-query
176.9.199.158,dns.decloudus.com,dns-query
176.9.93.198,dnsforge.de,dns-query
185.134.196.54,rdns.faelix.net,
185.134.196.55,rdns.faelix.net,
185.150.99.255,doh.ffmuc.net,
185.150.99.255,doh.ffmuc.net,dns-query
185.150.99.255,doh.ffmuc.net,query
185.150.99.255,doh.ffmuc.net,resolve
185.175.56.133,doh.no.ahadns.net,dns-query
185.194.94.71,dns.circl.lu,dns-query
185.194.94.71,dns.circl.lu,resolve
